时间,岗位,地点,工资,要求,公司,方向,公司标签,福利待遇
1天前发布,python开发工程师,上海·江湾,25k-40k,经验5-10年 / 本科,速石科技,"企业服务 / 天使轮 / 少于15人	云计算大数据Linux/UnixdockerGolang","精英团队,先进项目,环境优越,试用期全薪",
1天前发布,Python开发,上海·浦东新区,8k-11k,经验1-3年 / 本科,上海驰勤,移动互联网,"电子商务 / 未融资 / 50-150人	企业服务后端Linux/UnixGO",带薪年假 绩效奖金 满年调薪 交通便利
3天前发布,Python工程师,天津·国际大厦,10k-20k,经验1-3年 / 本科,联合咨询,金融,"数据服务 / 不需要融资 / 50-150人	爬虫网络爬虫搜索全栈","技术导向,扁平管理,用餐免费,福利补贴"
3天前发布,Python,西安·高新技术产业开发区,8k-15k,经验1-3年 / 大专,艾润物联,移动互联网,"生活服务 / A轮 / 150-500人	节日礼物年底双薪专项奖金年度旅游",竞争力的薪资，弹性工作时间和开放办公环境
2天前发布,Python 开发工程师,杭州·滨江区,10k-20k,经验3-5年 / 本科,H3C,移动互联网,"信息安全 / 上市公司 / 2000人以上	云计算大数据爬虫机器学习","高成长性,福利好"
3天前发布,Python开发工程师,上海·闸北公园,15k-25k,经验1-3年 / 本科,易居中国-创新研发中心,移动互联网,"电子商务 / 上市公司 / 2000人以上	后端Golang","上市公司,公司氛围好,平台大,技术牛"
1天前发布,Python,上海·复旦大学,15k-30k,经验3-5年 / 本科,亿可能源,移动互联网,"数据服务 / A轮 / 50-150人	JavaMySQL",技术大牛
1天前发布,python,北京·东城区,20k-40k,经验不限 / 本科,客知音,企业服务,"移动互联网 / A轮 / 15-50人	年终分红带薪年假交通补助午餐补助",人工智能；技术驱动；大牛带队；福利多多
1天前发布,Python开发工程师,苏州·独墅湖,10k-20k,经验1-3年 / 本科,图玛深维,"其他 / B轮 / 50-150人	QTC++","AI,技术大牛",
2天前发布,Python开发工程师,上海·闵行区,12k-20k,经验1-3年 / 本科,隆霁信息,"教育 移动互联网 / 不需要融资 / 15-50人	教育移动互联网Linux/UnixMySQL后端",团队氛围好 年底双薪 五险一金,
2天前发布,Python工程师,北京·建国门,20k-35k,经验5-10年 / 本科,易到用车,移动互联网,"O2O / D轮及以上 / 500-2000人	弹性工作带薪年假五险一金补充医疗",年底双薪 弹性上班
1天前发布,Python高级工程师,成都·锦江区,20k-40k,经验5-10年 / 本科,希望金科,"移动互联网 金融 / 不需要融资 / 150-500人	后端","六险一金,实力平台,牛人团队,技术氛围好",
3天前发布,Python开发工程师,北京·朝阳区,20k-30k,经验3-5年 / 本科,The ONE,硬件,"教育 / C轮 / 500-2000人	优秀团队技术大牛多五险一金弹性工作","五险一金,交通补助,午晚餐"
2天前发布,python开发,广州·天河区,10k-15k,经验3-5年 / 本科,BBGAME,"游戏 / 天使轮 / 50-150人	年底双薪绩效奖金领导好扁平管理","晋升快,薪资高,福利好,上司nice",
2天前发布,Python开发工程师,北京·大望路,10k-20k,经验不限 / 大专,乐飞天下,移动互联网,"旅游 / 未融资 / 50-150人	后端分布式MySQL",五险一金 带薪假 海外旅游 节假福利
3天前发布,Python 开发工程师,北京·朝外,18k-20k,经验5-10年 / 本科,绫致时装（天津）有限公司,电子商务,"O2O / 不需要融资 / 2000人以上	Linux/UnixMySQL",发展前景好
1天前发布,Python研发工程师,北京·中关村,15k-25k,经验1-3年 / 本科,Gridsum 国双,数据服务,"企业服务 / 上市公司 / 500-2000人	云计算移动互联网JSMySQL","六险一金,节日福利,带薪休假,餐补"
1天前发布,Python工程师,深圳·科技园,13k-25k,经验1-3年 / 本科,先健互联网,金融,"医疗健康 / A轮 / 150-500人	医疗健康大数据数据挖掘数据分析数据处理","互联网医疗,上市背景,领头企业,行业大拿"
2天前发布,Python软件研发工程师,长沙·长沙县,8k-16k,经验3-5年 / 大专,天河国云,移动互联网,"金融 / 天使轮 / 50-150人	Linux/Unix区块链","行业火,氛围棒,福利全,五险一金"
2天前发布,Python开发师,上海·徐汇区,15k-30k,经验3-5年 / 本科,问卷网@爱调研,"移动互联网 / B轮 / 150-500人	Java","五险一金,季度旅游,节日福利,带薪年假",
2天前发布,Python开发工程师—上海,上海·塘桥,10k-20k,经验1-3年 / 本科,优维科技,移动互联网,"企业服务 / B轮 / 50-150人	大数据","带薪年假,年度旅游,五险一金"
1天前发布,Python开发工程师,北京·西北旺,15k-28k,经验3-5年 / 本科,轻易贷,"金融 / 上市公司 / 2000人以上	JavaPHP","弹性工作制,扁平化管理,绩效奖金",
